epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,672.172,1.46503,1.67989,1.86768,0.52657,0.61664,0.53439,0.30873,1.46939,1.63562,1.92722,0.00141985,0.00141985,0.00141985
43,686.701,1.44673,1.63887,1.85074,0.48998,0.59097,0.5067,0.2903,1.50187,1.67201,1.9357,0.0014194,0.0014194,0.0014194
44,701.229,1.39347,1.602,1.79044,0.5808,0.67527,0.59658,0.32969,1.53703,1.54634,1.99227,0.00141894,0.00141894,0.00141894
45,715.744,1.40059,1.58196,1.80993,0.56018,0.66713,0.61267,0.34656,1.52813,1.5086,1.95371,0.00141847,0.00141847,0.00141847
46,730.32,1.41384,1.58059,1.8209,0.44423,0.65527,0.49993,0.27657,1.47689,1.78496,1.93965,0.00141798,0.00141798,0.00141798
47,744.903,1.40145,1.5421,1.78985,0.58039,0.6859,0.65237,0.38298,1.43967,1.34273,1.86686,0.00141749,0.00141749,0.00141749
48,786.935,1.39508,1.51501,1.79361,0.5559,0.53138,0.52458,0.2872,1.56437,1.69644,2.03733,0.00141699,0.00141699,0.00141699
49,801.481,1.37308,1.47165,1.76697,0.54962,0.65682,0.63952,0.35686,1.46548,1.44118,1.90124,0.00141647,0.00141647,0.00141647
50,815.976,1.39228,1.51158,1.79441,0.5155,0.67365,0.61602,0.34652,1.49591,1.65392,1.96593,0.00141594,0.00141594,0.00141594
51,830.539,1.39234,1.44831,1.77536,0.66253,0.67124,0.70607,0.41781,1.38384,1.27806,1.82908,0.00141541,0.00141541,0.00141541
52,845.097,1.35174,1.42303,1.74185,0.61041,0.61091,0.63344,0.35684,1.5661,1.48321,1.94414,0.00141486,0.00141486,0.00141486
53,859.667,1.37496,1.43988,1.76538,0.56824,0.63337,0.61639,0.36447,1.40812,1.42903,1.85221,0.0014143,0.0014143,0.0014143
54,874.178,1.37881,1.4291,1.74737,0.68158,0.6497,0.68387,0.4231,1.34092,1.55545,1.81648,0.00141373,0.00141373,0.00141373
55,888.724,1.33522,1.35979,1.72303,0.56894,0.68336,0.6325,0.38273,1.37913,1.51291,1.82822,0.00141316,0.00141316,0.00141316
56,903.282,1.31629,1.33979,1.69181,0.59045,0.71382,0.68378,0.41568,1.33403,1.37583,1.78536,0.00141257,0.00141257,0.00141257
